processo,perda,condenacao,previsto_melhor,previsto_motor_atual
3213970-19.2025.8.22.2746,1,6204.02,7835.31,7831.83
4144295-74.2025.8.20.2814,1,15337.14,12020.49,12014.90
1489122-73.2025.8.06.4712,0,0.00,1310.77,1375.02
9076825-89.2025.8.22.5499,0,0.00,203.71,214.51
2611595-22.2025.8.21.4344,0,0.00,3472.57,3485.57
7046141-21.2025.8.26.1653,0,0.00,984.25,981.42
7420817-82.2025.8.05.1496,1,6499.68,278.86,264.07
5842163-22.2025.8.20.6251,1,6893.52,2182.59,2191.62
1159321-13.2025.8.09.3041,0,0.00,369.72,359.62
4218753-29.2025.8.05.2645,0,0.00,3045.11,2961.82
2265586-23.2025.8.15.9294,0,0.00,11697.41,11657.25
1795300-97.2025.8.16.7719,0,0.00,370.16,373.99
5263309-89.2025.8.10.5361,1,10561.70,3763.88,3785.75
6544028-35.2025.8.04.2852,0,0.00,228.37,226.02
1679835-86.2025.8.15.7849,1,17798.66,14760.11,14787.98
2256289-49.2025.8.18.7611,0,0.00,403.59,407.90
7392889-82.2025.8.27.9829,1,9072.78,5430.87,5347.97
6767678-71.2025.8.11.7084,0,0.00,498.16,511.39
3959354-63.2025.8.07.0315,1,8939.92,6814.76,6815.09
8645798-58.2025.8.14.5793,1,3655.64,2959.31,2957.57
7487416-90.2025.8.01.1492,0,0.00,4496.52,4489.59
8279053-25.2025.8.11.0243,1,500.00,448.23,446.45
4489140-38.2025.8.26.4480,0,0.00,419.09,395.93
5888472-52.2025.8.19.3544,0,0.00,693.56,741.71
5170638-23.2025.8.16.6337,0,0.00,1182.31,1175.42
4044506-24.2025.8.12.8680,0,0.00,293.58,296.30
7942285-82.2025.8.14.2410,0,0.00,625.04,615.08
9984828-41.2025.8.03.0235,1,17901.63,16625.76,16617.11
3314454-85.2025.8.06.6785,1,8348.35,5874.86,5873.98
6008398-06.2025.8.13.8640,0,0.00,2985.96,2995.94
8193650-83.2025.8.14.7389,0,0.00,451.74,450.09
5848314-50.2025.8.14.9911,0,0.00,4250.28,4262.08
5492125-08.2025.8.10.1408,0,0.00,433.61,438.50
6555039-90.2025.8.21.4506,0,0.00,259.05,258.15
1660297-30.2025.8.27.8458,0,0.00,390.22,404.69
1213097-49.2025.8.04.1306,0,0.00,3191.04,3053.97
3363199-95.2025.8.02.4899,0,0.00,443.94,446.33
9135131-30.2025.8.07.1190,0,0.00,95.02,95.55
9795090-43.2025.8.02.4885,1,13751.54,17689.61,17689.49
5061630-89.2025.8.27.7053,0,0.00,9505.85,9518.85
8672610-34.2025.8.20.0772,0,0.00,3573.20,3583.29
3545726-92.2025.8.07.4298,1,3079.20,4618.30,4619.13
6540991-92.2025.8.16.3915,0,0.00,406.57,411.29
4044192-40.2025.8.01.4213,0,0.00,394.26,378.57
1465308-11.2025.8.08.3578,1,19068.60,13576.07,13582.45
8526250-38.2025.8.13.2313,0,0.00,151.80,153.39
5467451-88.2025.8.16.9413,0,0.00,2825.58,2837.98
6434045-15.2025.8.01.2153,0,0.00,302.85,314.11
7958617-28.2025.8.04.3315,0,0.00,670.76,674.21
5050593-23.2025.8.01.1326,0,0.00,704.05,712.20
2508636-39.2025.8.19.3525,0,0.00,248.98,247.93
7847888-01.2025.8.19.2080,0,0.00,4879.90,4852.88
1473956-07.2025.8.08.4255,1,11594.02,9534.08,9539.66
6144957-38.2025.8.27.9860,0,0.00,342.17,343.71
3222095-73.2025.8.04.3054,0,0.00,1750.21,1707.55
4901551-38.2025.8.13.1323,1,6193.52,4018.70,4006.64
8453298-09.2025.8.26.0840,0,0.00,6792.12,6829.63
3194746-79.2025.8.24.8169,0,0.00,252.79,265.99
8320248-92.2025.8.08.9799,0,0.00,41.59,41.81
4723626-92.2025.8.27.1940,0,0.00,5826.05,5823.82
2094283-38.2025.8.13.5456,0,0.00,448.47,423.77
4447875-56.2025.8.16.2438,0,0.00,327.58,335.99
8973317-67.2025.8.18.8370,0,0.00,365.67,364.04
7359676-19.2025.8.03.0965,0,0.00,219.77,218.65
7666012-83.2025.8.26.1157,1,4963.09,3862.57,3865.81
3065068-52.2025.8.22.1648,0,0.00,327.20,344.01
6272351-27.2025.8.02.2030,0,0.00,783.72,787.77
7402906-02.2025.8.15.4237,1,5665.21,414.34,391.91
7108862-06.2025.8.18.0016,0,0.00,352.82,342.95
8097532-63.2025.8.22.7349,0,0.00,4933.18,5123.35
9458097-33.2025.8.21.0085,0,0.00,856.45,865.32
2894168-17.2025.8.09.9327,1,19001.38,2796.17,2916.84
9835832-81.2025.8.16.5097,1,4613.57,3352.95,3358.28
1519936-18.2025.8.09.4453,1,10657.67,2632.99,2526.63
6956873-51.2025.8.18.5480,0,0.00,1575.78,1562.91
2674865-43.2025.8.18.7118,0,0.00,964.52,915.62
5265898-93.2025.8.12.7731,0,0.00,373.21,370.22
1148906-83.2025.8.13.3860,0,0.00,451.54,449.61
8237731-60.2025.8.21.1814,0,0.00,572.53,575.14
3740475-57.2025.8.07.9179,0,0.00,768.10,757.38
1709748-68.2025.8.07.6395,0,0.00,1483.66,1490.53
4135878-11.2025.8.12.1515,1,6556.66,682.48,679.09
1488763-25.2025.8.06.6916,0,0.00,1532.79,1540.20
4743738-19.2025.8.20.8916,1,18764.19,5927.79,6021.41
7233349-57.2025.8.01.9653,0,0.00,423.96,439.73
5084630-29.2025.8.13.3039,0,0.00,399.44,419.98
4685129-70.2025.8.27.4384,0,0.00,326.00,343.31
8596529-46.2025.8.05.8677,1,7230.98,8453.33,8455.94
6226516-88.2025.8.05.8240,1,3529.54,2940.57,2938.58
9920907-99.2025.8.22.2459,0,0.00,1529.28,1535.27
5284383-38.2025.8.26.0103,0,0.00,130.02,129.35
5658475-02.2025.8.04.8962,0,0.00,282.91,281.23
9558125-04.2025.8.09.6265,1,15519.31,13624.08,13623.65
7310507-71.2025.8.19.7283,0,0.00,808.92,787.29
8337562-91.2025.8.11.3661,0,0.00,4799.11,4741.17
6145289-80.2025.8.24.3992,1,6356.11,5853.85,5769.06
1618794-17.2025.8.12.9712,0,0.00,159.23,158.03
3430821-17.2025.8.01.4715,1,10070.57,3901.68,4053.83
8987507-16.2025.8.26.3903,0,0.00,467.68,465.48
4546150-03.2025.8.16.1994,1,19545.83,17058.58,17075.73
9684432-43.2025.8.17.5748,0,0.00,586.15,585.13
8643869-67.2025.8.04.0833,1,10285.90,9029.44,9031.13
5387091-38.2025.8.13.2652,1,8244.91,10976.41,10969.03
5919541-11.2025.8.07.5186,1,12865.93,5937.16,5952.89
8872129-94.2025.8.20.7032,1,5748.44,1775.41,1773.04
4567426-36.2025.8.06.1562,0,0.00,2171.98,2181.68
6641436-73.2025.8.21.0848,0,0.00,3549.43,3540.62
5650961-76.2025.8.26.3406,1,13471.45,493.05,490.25
5639920-39.2025.8.26.5732,0,0.00,601.82,598.99
4090821-81.2025.8.12.0510,0,0.00,2026.48,2017.80
8755923-90.2025.8.10.9321,0,0.00,277.28,278.83
5032457-27.2025.8.02.7033,0,0.00,84.44,84.10
6899383-25.2025.8.03.1624,0,0.00,3105.42,3139.59
1315681-05.2025.8.15.5208,1,23760.06,17137.37,17142.24
5750992-25.2025.8.10.3620,1,7275.62,1359.33,1294.76
5207050-49.2025.8.12.4104,0,0.00,887.20,908.68
1169373-77.2025.8.07.9177,0,0.00,274.57,277.83
3665511-82.2025.8.01.6901,1,7560.41,8615.50,8641.30
9726894-10.2025.8.25.9822,0,0.00,190.21,200.35
2224878-29.2025.8.11.2508,0,0.00,1825.81,1818.05
8260479-44.2025.8.14.4451,1,10907.88,3803.09,3826.75
4837405-39.2025.8.25.9712,0,0.00,516.99,489.16
7012417-50.2025.8.07.7437,1,16647.14,622.70,619.98
3932415-80.2025.8.24.2769,1,7576.04,6278.71,6279.98
8348250-96.2025.8.19.4346,0,0.00,875.57,871.59
9520466-97.2025.8.21.8589,1,6517.51,7901.68,7900.63
2160461-42.2025.8.19.0648,0,0.00,342.41,344.24
9788826-11.2025.8.18.8916,0,0.00,359.71,349.65
1887746-52.2025.8.05.7009,0,0.00,300.51,292.27
9758777-38.2025.8.26.3437,0,0.00,508.02,502.82
5302859-34.2025.8.17.2204,1,10595.62,4883.91,4879.29
1016378-07.2025.8.02.7545,0,0.00,322.86,314.23
1113719-63.2025.8.26.2971,0,0.00,3375.66,3364.06
8280515-64.2025.8.18.2241,1,10561.08,7161.14,7152.50
5530009-44.2025.8.16.4213,0,0.00,2397.62,2387.45
4127488-85.2025.8.24.0331,0,0.00,1389.20,1382.35
3977277-92.2025.8.21.1451,0,0.00,689.36,686.75
4054140-35.2025.8.17.6857,0,0.00,173.41,174.60
6211501-24.2025.8.05.4997,1,12348.22,4285.73,4326.13
6574700-94.2025.8.17.7232,1,8561.14,6130.22,6131.61
6387982-01.2025.8.20.0445,0,0.00,428.48,451.20
7855642-18.2025.8.13.5837,0,0.00,661.50,694.98
8773004-87.2025.8.19.4611,1,3644.36,2887.58,2923.51
6170791-53.2025.8.26.7953,0,0.00,508.16,505.27
5769281-83.2025.8.06.8109,1,12814.45,8128.12,8154.85
2535640-55.2025.8.19.2913,0,0.00,155.07,156.81
4513188-08.2025.8.07.4304,1,6631.14,8007.35,8015.70
1713371-46.2025.8.25.2246,0,0.00,431.73,430.07
2628137-96.2025.8.04.3695,0,0.00,4791.41,4771.09
2599982-40.2025.8.07.5069,0,0.00,201.12,202.23
9321084-07.2025.8.16.6475,0,0.00,179.18,181.09
2130336-31.2025.8.06.4169,1,11934.59,7292.91,7286.35
4445098-89.2025.8.25.6618,0,0.00,467.67,469.99
7527823-01.2025.8.24.4548,1,7972.15,14091.85,14072.67
1704362-18.2025.8.11.9741,1,13485.61,426.42,430.68
7004367-40.2025.8.22.5392,0,0.00,1606.86,1601.11
7781200-86.2025.8.14.8215,0,0.00,688.51,663.93
2443479-90.2025.8.26.4567,0,0.00,2726.38,2665.55
2455829-12.2025.8.15.9407,1,11619.06,16754.04,16750.89
8493526-86.2025.8.19.1810,1,6167.05,4668.97,4660.41
6431907-38.2025.8.26.4043,0,0.00,1037.58,1009.06
6141181-02.2025.8.27.1369,0,0.00,4288.34,4277.33
2917735-84.2025.8.18.5963,0,0.00,4894.57,4928.18
2177705-07.2025.8.05.5028,0,0.00,810.14,814.30
6390431-60.2025.8.21.1883,0,0.00,11430.88,11425.41
2676760-69.2025.8.02.8810,0,0.00,1668.46,1655.85
7235376-53.2025.8.01.1261,1,11924.28,4877.73,4984.94
6484226-27.2025.8.01.1489,0,0.00,172.91,173.40
6284640-25.2025.8.06.6414,1,13493.00,8771.82,8645.48
9518091-86.2025.8.15.3151,0,0.00,4870.00,4858.19
3319982-45.2025.8.09.3044,1,12383.29,2944.03,2956.12
3157523-92.2025.8.20.8126,1,14313.78,2817.60,2694.47
8656338-90.2025.8.16.3588,0,0.00,1245.19,1251.44
8541350-50.2025.8.21.3633,1,16135.02,10148.92,10134.68
2738111-52.2025.8.13.0801,0,0.00,183.79,182.56
1461562-51.2025.8.15.2228,0,0.00,1305.71,1319.20
1314371-72.2025.8.01.7139,0,0.00,124.12,124.82
3491718-18.2025.8.08.6375,1,16324.01,1204.33,1172.73
6356069-94.2025.8.17.2910,0,0.00,660.15,664.59
7832830-15.2025.8.14.0929,0,0.00,482.85,487.86
1390127-62.2025.8.07.4947,0,0.00,708.48,689.78
8195958-87.2025.8.04.6867,1,6375.22,6166.95,6166.72
6186952-02.2025.8.14.6517,1,15426.78,8159.85,8065.57
9382630-15.2025.8.08.9952,1,5820.53,6716.10,6719.26
6058555-30.2025.8.12.4913,0,0.00,3677.25,3733.55
2484244-16.2025.8.19.5084,0,0.00,1186.62,1192.53
6798633-82.2025.8.16.2547,0,0.00,156.05,157.82
9364488-19.2025.8.01.7822,0,0.00,4762.51,4794.78
5372671-83.2025.8.22.6200,0,0.00,2026.83,2008.04
8678628-20.2025.8.04.3276,1,13366.01,10467.80,10463.35
8151867-42.2025.8.25.4723,0,0.00,1870.78,1994.97
5824391-98.2025.8.05.3284,0,0.00,563.67,560.79
9887212-33.2025.8.18.7001,0,0.00,376.95,373.96
9087910-55.2025.8.17.7906,1,9618.30,7658.21,7658.20
5166901-10.2025.8.17.3342,1,13864.33,879.46,878.56
1181757-46.2025.8.08.5872,1,11030.46,8809.77,8807.07
7610894-14.2025.8.01.4749,0,0.00,181.75,181.06
4412110-72.2025.8.05.0293,0,0.00,1698.31,1706.59
9026708-01.2025.8.16.4756,1,9402.68,10960.17,10963.44
7838335-11.2025.8.21.4750,0,0.00,509.34,506.60
9799795-39.2025.8.13.3279,0,0.00,7997.42,7824.89
1507633-37.2025.8.27.0019,1,7340.00,12859.53,12857.06
8535281-95.2025.8.06.6245,1,19116.92,12628.80,12778.62
1760422-27.2025.8.19.8007,0,0.00,991.02,996.09
4404383-04.2025.8.10.2064,0,0.00,1182.96,1188.70
1307830-71.2025.8.06.0115,0,0.00,422.21,416.67
6887745-35.2025.8.04.1795,0,0.00,10214.14,10209.93
9131244-34.2025.8.25.8387,0,0.00,567.01,551.54
3081204-77.2025.8.24.3223,1,7952.34,12305.29,12304.45
8811901-41.2025.8.06.1118,0,0.00,754.28,725.81
4229111-00.2025.8.02.1117,0,0.00,236.83,235.77
6349629-94.2025.8.27.1037,0,0.00,320.26,321.69
1786367-53.2025.8.01.9534,1,3507.58,4497.98,4447.62
9738072-80.2025.8.20.3604,0,0.00,365.75,375.69
1429131-65.2025.8.16.7131,0,0.00,408.87,411.05
6298051-14.2025.8.18.2632,0,0.00,468.08,454.60
8835833-23.2025.8.15.2683,1,7162.17,7198.18,7197.98
9019486-60.2025.8.01.7318,1,14047.93,389.51,418.63
4223386-49.2025.8.04.9723,0,0.00,9071.32,8897.50
5493603-95.2025.8.17.4681,1,11724.29,13351.65,13352.25
1426810-28.2025.8.03.7236,1,12654.21,16325.60,16324.97
3565485-68.2025.8.15.6050,1,7843.79,367.12,371.46
7871944-71.2025.8.22.4870,0,0.00,179.85,174.87
7160018-40.2025.8.27.3669,1,9197.20,7553.19,7554.74
8294856-81.2025.8.01.8179,0,0.00,81.46,79.13
5169995-43.2025.8.21.0149,0,0.00,662.59,696.21
2383847-24.2025.8.16.5952,0,0.00,8343.18,8278.43
4145480-78.2025.8.14.7921,0,0.00,667.95,642.62
5045561-25.2025.8.12.1409,1,9501.50,6966.33,6965.33
2827270-94.2025.8.12.5087,0,0.00,116.98,117.26
8289547-16.2025.8.21.5284,1,5447.63,6728.55,6697.14
7437336-37.2025.8.04.2267,1,20082.93,18307.35,18248.28
8273526-92.2025.8.14.0334,0,0.00,573.79,571.13
9350393-47.2025.8.01.0529,0,0.00,133.94,133.12
3550678-73.2025.8.19.2747,0,0.00,485.62,488.10
7786278-22.2025.8.22.5529,0,0.00,562.37,565.36
1194533-64.2025.8.12.2332,0,0.00,117.30,115.30
5712779-81.2025.8.11.3921,0,0.00,100.11,100.63
7712415-73.2025.8.13.2437,1,4947.36,3584.44,3490.61
5472733-84.2025.8.22.0063,0,0.00,10525.86,10519.52
1788049-69.2025.8.16.7383,0,0.00,481.57,475.51
4301797-39.2025.8.06.0332,0,0.00,471.98,474.46
5450780-22.2025.8.20.7463,0,0.00,356.11,360.11
9539168-87.2025.8.10.8603,0,0.00,545.70,531.19
1696887-15.2025.8.13.1134,0,0.00,1818.21,1935.21
2487738-28.2025.8.22.1955,0,0.00,1111.42,1118.17
7494660-83.2025.8.03.3411,1,5447.64,661.64,664.87
1836045-07.2025.8.14.8746,1,15850.67,12448.34,12457.19
5958172-25.2025.8.20.9082,1,9341.16,438.15,420.97
3392524-83.2025.8.05.0960,0,0.00,5018.05,5164.65
6215162-81.2025.8.14.1863,1,7207.41,3573.74,3524.83
4627962-92.2025.8.07.0923,1,16015.48,6266.89,6196.18
2147042-08.2025.8.07.8875,1,10489.68,6484.33,6480.33
1704950-16.2025.8.17.6158,1,9823.40,7569.61,7575.82
3306335-39.2025.8.16.5552,0,0.00,4202.58,4195.49
6458939-98.2025.8.19.6856,1,4929.84,3264.77,3259.14
7746285-92.2025.8.06.5327,0,0.00,269.24,270.65
5874455-39.2025.8.11.6994,0,0.00,519.05,516.85
5236204-61.2025.8.26.2908,0,0.00,135.87,136.18
9948622-96.2025.8.17.1777,0,0.00,489.62,489.12
1666823-48.2025.8.06.7187,0,0.00,172.34,173.24
9959860-54.2025.8.26.5653,0,0.00,1684.32,1677.39
6876983-57.2025.8.13.4794,1,6669.17,3673.73,3683.47
1051962-05.2025.8.10.5423,0,0.00,1026.38,1037.46
7275778-83.2025.8.07.0806,1,8225.38,5612.22,5537.25
7656621-85.2025.8.01.5344,0,0.00,407.03,405.31
1853677-76.2025.8.15.1444,0,0.00,1907.53,1865.94
1445156-76.2025.8.08.3293,1,13492.25,6099.67,6088.04
1996983-83.2025.8.15.3788,0,0.00,566.13,563.35
8282350-82.2025.8.05.6399,1,12808.71,11380.86,11376.67
8313317-21.2025.8.27.5237,0,0.00,89.95,89.76
7233828-55.2025.8.25.7543,0,0.00,1151.14,1147.25
7342745-42.2025.8.21.7530,0,0.00,436.55,458.71
1078101-52.2025.8.22.3989,0,0.00,472.02,474.71
9998896-05.2025.8.12.1690,0,0.00,217.79,218.90
1872797-37.2025.8.19.6475,1,13147.24,13062.03,13072.15
3692437-06.2025.8.05.6007,0,0.00,476.29,501.34
1905247-25.2025.8.03.6870,1,15297.70,1379.62,1382.66
3171223-66.2025.8.24.3741,0,0.00,6546.05,6630.01
8940474-84.2025.8.01.6653,0,0.00,1122.99,1112.62
2882232-51.2025.8.16.0737,0,0.00,1085.49,1069.24
7482980-94.2025.8.12.9243,0,0.00,6498.25,6388.52
1157274-43.2025.8.26.4212,1,5902.10,6869.47,6881.71
7369087-86.2025.8.09.8138,1,4967.22,7078.14,7078.53
2029896-81.2025.8.03.0084,1,19130.92,12371.66,12338.80
4836552-09.2025.8.03.6128,0,0.00,1225.57,1229.71
4796576-53.2025.8.18.2327,0,0.00,437.72,440.16
3403030-51.2025.8.24.5859,0,0.00,587.28,581.28
7548572-49.2025.8.16.5447,0,0.00,153.23,154.97
1812257-78.2025.8.27.1268,1,15342.33,7860.83,7915.55
9060834-28.2025.8.26.7858,1,11715.02,9614.63,9632.75
7434069-26.2025.8.18.6341,0,0.00,3615.99,3600.25
4560252-40.2025.8.27.1221,0,0.00,565.95,568.75
4325188-98.2025.8.22.3539,1,13194.27,12465.26,12466.12
5225635-40.2025.8.13.4347,0,0.00,416.28,426.94
1291991-89.2025.8.13.8981,0,0.00,721.30,728.30
5168388-38.2025.8.26.5574,0,0.00,962.67,958.71
4860556-87.2025.8.01.1806,1,8366.36,5973.13,5944.74
1468086-91.2025.8.17.8973,1,10020.34,6484.52,6508.19
5948893-78.2025.8.16.8710,0,0.00,212.55,211.63
1914105-39.2025.8.17.3933,0,0.00,12680.49,12683.76
7056245-35.2025.8.07.8016,1,12683.42,580.62,583.61
9988029-34.2025.8.26.4447,0,0.00,192.52,193.50
2049257-67.2025.8.11.7378,0,0.00,44.06,47.43
2217666-64.2025.8.02.8359,0,0.00,1076.74,1082.38
3689650-79.2025.8.01.4175,0,0.00,1982.30,1931.19
2379097-81.2025.8.09.2971,1,8596.85,11477.83,11466.37
8392438-37.2025.8.07.3124,0,0.00,245.56,238.82
7450889-62.2025.8.20.8944,1,13396.52,11304.06,11305.03
8369232-40.2025.8.20.3767,0,0.00,3505.37,3500.68
5922145-40.2025.8.20.3623,0,0.00,550.92,554.11
7803401-52.2025.8.22.8650,1,5726.96,6709.72,6692.80
9226709-39.2025.8.21.8407,0,0.00,2683.11,2674.69
9779913-09.2025.8.08.1596,0,0.00,1064.71,1060.34
9610864-65.2025.8.12.3311,0,0.00,4115.11,4120.24
7381020-98.2025.8.17.5854,0,0.00,131.33,132.09
1856529-15.2025.8.20.6106,0,0.00,178.61,179.61
3129197-04.2025.8.15.7113,0,0.00,580.67,577.82
1634691-77.2025.8.06.2186,0,0.00,393.49,391.36
4480594-83.2025.8.02.3291,0,0.00,338.60,337.66
9079696-58.2025.8.02.2107,0,0.00,157.21,148.70
2522106-27.2025.8.14.2438,1,7354.65,4584.52,4572.19
6795173-97.2025.8.25.9632,0,0.00,1896.88,1905.15
5121954-42.2025.8.17.5661,0,0.00,776.88,738.19
7912992-03.2025.8.26.2907,0,0.00,6011.45,6018.05
9077901-23.2025.8.16.0900,0,0.00,414.13,418.52
9850553-26.2025.8.21.4138,0,0.00,547.88,553.55
3676302-87.2025.8.11.6903,0,0.00,314.23,296.79
2440777-48.2025.8.24.9295,0,0.00,241.75,240.58
6087598-60.2025.8.13.8044,1,5572.72,957.91,959.77
4099484-17.2025.8.25.1165,0,0.00,554.60,557.49
2822071-37.2025.8.08.6195,0,0.00,3186.31,3199.39
7546365-32.2025.8.07.6292,0,0.00,2157.69,2253.98
6484715-29.2025.8.15.6918,0,0.00,170.98,180.29
1970657-70.2025.8.17.5672,0,0.00,251.01,252.75
3021305-41.2025.8.08.9746,1,8344.32,1946.73,2045.11
6141540-85.2025.8.04.7082,1,9834.88,8717.09,8717.24
7844766-19.2025.8.08.8547,0,0.00,1040.72,1051.87
7755370-46.2025.8.06.5757,0,0.00,539.83,543.09
4192743-38.2025.8.17.8568,1,6241.54,9603.82,9611.83
4327247-92.2025.8.14.5135,0,0.00,578.24,555.20
2041666-80.2025.8.05.8479,0,0.00,788.88,846.25
5758215-65.2025.8.13.3957,0,0.00,693.43,696.61
5516344-05.2025.8.16.7988,0,0.00,429.60,422.81
7982446-09.2025.8.25.7785,0,0.00,455.34,457.51
3041136-67.2025.8.25.1083,0,0.00,4824.63,4818.05
8487639-81.2025.8.11.5509,1,6379.27,145.30,146.05
6497665-54.2025.8.24.9118,0,0.00,719.34,715.88
4025522-97.2025.8.25.4611,0,0.00,340.85,339.53
5938256-88.2025.8.07.9989,1,6325.43,4215.26,4211.13
7320955-05.2025.8.26.0408,0,0.00,328.35,345.80
8390536-15.2025.8.03.1635,1,11566.45,10056.58,9995.48
9505164-65.2025.8.21.4663,1,14858.58,13823.86,13791.80
8802612-48.2025.8.07.8407,0,0.00,1583.55,1511.33
5216076-92.2025.8.04.0037,1,11945.00,11201.48,11204.81
6705356-04.2025.8.05.2672,1,13228.08,17759.63,17727.32
3275951-40.2025.8.18.0190,1,17726.80,13874.93,13868.93
4492461-41.2025.8.15.7408,0,0.00,345.34,347.09
5244252-23.2025.8.26.6244,1,5120.03,4599.63,4599.98
6816986-22.2025.8.06.3773,0,0.00,502.20,488.84
7542150-35.2025.8.10.8239,0,0.00,71.39,70.29
7617228-76.2025.8.11.2231,0,0.00,434.32,431.81
7039298-12.2025.8.05.0807,0,0.00,380.39,378.25
1507633-53.2025.8.16.9539,0,0.00,1310.24,1316.81
5748297-07.2025.8.24.1795,0,0.00,4827.07,4813.97
8387048-79.2025.8.06.7495,0,0.00,11696.44,11668.78
7164831-02.2025.8.22.8048,0,0.00,513.38,510.32
8148759-48.2025.8.11.4961,1,11522.26,9700.41,9688.16
6428387-59.2025.8.07.8087,0,0.00,688.21,738.91
1321579-78.2025.8.14.1092,1,7693.68,14559.07,14552.86
9880542-33.2025.8.18.5582,0,0.00,562.10,558.88
1230284-92.2025.8.01.9589,0,0.00,1263.46,1322.20
2231152-12.2025.8.17.7925,0,0.00,295.18,299.22
1639563-98.2025.8.07.6568,0,0.00,836.81,838.84
4215711-95.2025.8.06.7240,1,4692.57,5634.07,5610.03
3493277-63.2025.8.04.8648,1,19615.75,1504.82,1512.02
8705458-37.2025.8.11.3977,0,0.00,2374.29,2365.15
9631853-64.2025.8.01.7116,0,0.00,131.30,129.24
4032824-52.2025.8.19.1944,1,5021.31,1395.30,1341.35
2219933-53.2025.8.14.5426,0,0.00,689.52,712.35
3445597-29.2025.8.05.4520,0,0.00,204.19,198.57
8203851-58.2025.8.15.3328,0,0.00,184.57,186.73
9910176-38.2025.8.10.7886,0,0.00,257.47,255.89
4578685-29.2025.8.27.0821,0,0.00,1178.74,1191.61
1030245-34.2025.8.03.8036,0,0.00,261.87,265.19
5554383-25.2025.8.14.8965,0,0.00,64.49,62.70
1106244-42.2025.8.02.0939,0,0.00,1463.50,1450.37
2113754-91.2025.8.10.5965,0,0.00,29.08,28.97
9179657-07.2025.8.21.4732,0,0.00,227.27,218.23
2484309-77.2025.8.17.9625,0,0.00,365.79,364.75
1389943-76.2025.8.27.0030,0,0.00,223.88,223.50
9967124-84.2025.8.16.2826,1,10223.84,5024.26,5051.24
1898951-99.2025.8.24.4647,0,0.00,607.79,583.44
3205936-44.2025.8.25.3944,0,0.00,747.08,750.64
1170539-29.2025.8.02.1722,0,0.00,117.23,117.90
7400623-43.2025.8.19.9708,0,0.00,1124.93,1130.91
2558325-81.2025.8.18.3253,1,14719.33,1869.67,1858.84
2535960-82.2025.8.08.8927,1,7529.30,7191.60,7188.46
4333431-20.2025.8.20.0440,0,0.00,6044.17,6061.25
4653430-80.2025.8.19.1029,1,7415.84,4468.44,4492.75
3641059-93.2025.8.03.2533,0,0.00,1003.79,990.98
4217572-44.2025.8.05.9309,1,7044.41,9064.45,9065.12
6392556-23.2025.8.21.7866,1,8123.25,8806.90,8783.23
3646700-04.2025.8.07.6184,0,0.00,357.64,359.48
7173475-38.2025.8.03.3519,1,13344.48,11515.59,11506.57
8818551-19.2025.8.13.3573,0,0.00,434.68,446.02
1277251-68.2025.8.22.4438,0,0.00,7945.18,7888.79
5448476-86.2025.8.22.8943,1,8212.25,9351.43,9352.44
2803011-92.2025.8.19.9470,0,0.00,3630.16,3612.42
8720399-91.2025.8.12.6095,1,17296.07,8969.85,8863.16
9099847-73.2025.8.11.6637,0,0.00,104.27,107.12
2570356-40.2025.8.15.6127,0,0.00,169.84,164.87
1679143-21.2025.8.27.6603,1,6927.51,11141.62,11141.38
3406577-84.2025.8.26.2547,0,0.00,105.23,105.73
2798517-79.2025.8.11.4352,0,0.00,1546.70,1582.45
7704666-65.2025.8.13.1462,0,0.00,1340.16,1371.74
7362159-46.2025.8.25.0065,1,19347.23,13822.98,13830.53
8498127-54.2025.8.22.2048,0,0.00,449.54,432.02
4003805-88.2025.8.21.7620,0,0.00,1551.92,1559.29
2719814-68.2025.8.21.1133,0,0.00,200.24,194.65
8612719-43.2025.8.14.2350,0,0.00,103.20,103.74
9540174-36.2025.8.16.7893,0,0.00,459.34,461.79
4161195-56.2025.8.02.5326,0,0.00,915.31,913.20
4694076-03.2025.8.05.8310,1,13573.00,14150.52,14133.48
5119850-30.2025.8.10.0230,0,0.00,269.96,262.23
9375031-78.2025.8.03.2965,1,11407.25,1123.24,1151.29
5743681-96.2025.8.20.9209,0,0.00,597.94,575.55
3569642-07.2025.8.12.2821,0,0.00,78.75,79.16
2378022-28.2025.8.26.0947,1,13135.67,9608.71,9619.56
9219037-09.2025.8.04.5309,1,6427.80,605.51,601.79
4592647-85.2025.8.02.2121,0,0.00,736.22,716.55
4921935-35.2025.8.07.4085,0,0.00,209.09,208.28
7187328-89.2025.8.11.7408,0,0.00,308.33,299.40
5180674-56.2025.8.22.1039,0,0.00,214.96,214.05
7896627-87.2025.8.22.2943,0,0.00,1777.03,1730.61
6479059-49.2025.8.12.0270,1,3967.92,5424.15,5424.66
1107349-54.2025.8.12.8090,1,2573.47,1947.61,1946.02
1929921-35.2025.8.04.2435,0,0.00,1118.77,1147.22
3288587-93.2025.8.02.8215,1,12379.25,9064.08,9064.39
9470313-91.2025.8.10.0159,1,11027.33,6863.45,6863.90
7367243-06.2025.8.12.7733,1,9334.13,8877.47,8992.32
5279561-31.2025.8.09.4220,0,0.00,1174.90,1181.59
5649145-14.2025.8.13.6305,1,16385.28,11683.20,11681.86
4533624-80.2025.8.07.1797,1,15301.81,10629.53,10642.08
5253647-52.2025.8.01.1650,0,0.00,383.87,388.38
