processo,uf,golpe,contrato,extrato,comprovante,dossie,demonstrativo,laudo,perda,p_perda_validacao
7068403-33.2025.8.04.3480,AM,1,0,1,1,0,0,1,1,0.785013
3407817-36.2025.8.18.6740,PI,0,1,1,0,0,1,0,0,0.038303
9952543-47.2025.8.18.5263,PI,1,1,1,0,0,1,1,0,0.099126
9938901-12.2025.8.02.5466,AL,0,1,1,1,1,1,1,0,0.017540
6741653-23.2025.8.27.4112,TO,0,1,1,0,1,1,1,0,0.044509
2742292-31.2025.8.07.8408,DF,1,1,1,0,0,1,1,1,0.167107
9911886-27.2025.8.06.4135,CE,0,1,1,1,1,1,1,0,0.016337
1803084-60.2025.8.03.9851,AP,0,0,1,0,1,1,1,0,0.748798
5685227-97.2025.8.08.2188,ES,0,1,1,1,1,1,0,0,0.020615
5452309-10.2025.8.18.9776,PI,1,1,1,1,1,1,1,0,0.029946
8231308-90.2025.8.26.8467,SP,1,0,1,1,0,0,1,0,0.630722
2315059-20.2025.8.12.2042,MS,1,1,1,0,1,1,0,0,0.112665
3045258-69.2025.8.14.7595,PA,1,0,0,1,1,1,0,1,0.946047
8458103-88.2025.8.13.1869,MG,1,1,1,0,1,1,1,0,0.143045
5080042-87.2025.8.02.9330,AL,1,1,0,1,0,0,1,1,0.596605
7353452-27.2025.8.08.7260,ES,1,1,1,0,1,1,1,0,0.172738
8198435-40.2025.8.13.5584,MG,1,1,1,1,0,1,1,0,0.043955
2943303-41.2025.8.26.1975,SP,0,1,1,1,0,1,1,0,0.016567
8369344-40.2025.8.14.5016,PA,1,0,1,1,1,1,1,1,0.497091
9559586-78.2025.8.20.8338,RN,1,1,1,1,1,1,1,0,0.035459
9870088-59.2025.8.04.2210,AM,0,1,0,0,0,0,1,1,0.811360
6884711-54.2025.8.14.9518,PA,1,1,1,0,0,1,1,0,0.129056
3896725-26.2025.8.03.1597,AP,1,1,1,1,1,0,1,0,0.153220
2950633-93.2025.8.21.3450,RS,1,1,1,0,1,1,1,0,0.193877
5983777-42.2025.8.03.7237,AP,0,1,1,1,0,1,1,0,0.035823
9586212-83.2025.8.05.3458,BA,1,1,1,0,1,0,1,0,0.251890
3105122-52.2025.8.19.4920,RJ,1,1,1,1,1,1,1,0,0.059289
7000307-16.2025.8.26.8950,SP,1,1,1,1,1,1,1,0,0.044012
4673125-19.2025.8.20.1412,RN,0,1,0,1,0,1,1,0,0.212462
4641680-22.2025.8.25.4980,SE,1,0,0,0,1,1,1,1,0.986246
4192132-83.2025.8.21.0265,RS,1,1,1,1,1,1,0,0,0.063063
7892886-40.2025.8.18.6146,PI,0,1,1,1,1,1,0,0,0.011355
4885045-97.2025.8.16.3636,PR,1,0,0,0,0,1,1,1,0.981660
7379088-51.2025.8.03.6109,AP,1,0,0,0,1,1,1,1,0.994024
3648880-78.2025.8.21.2484,RS,0,0,1,0,1,1,1,1,0.655559
5410007-77.2025.8.18.3315,PI,1,1,1,1,1,1,1,1,0.029946
8902508-33.2025.8.17.5384,PE,1,1,1,1,1,0,1,0,0.076989
8205982-49.2025.8.02.8793,AL,1,1,1,1,1,1,1,0,0.046050
3801499-72.2025.8.26.0360,SP,1,1,1,1,1,0,1,0,0.074166
5563729-08.2025.8.24.8674,SC,0,1,1,1,1,0,0,0,0.026244
7862606-58.2025.8.19.7323,RJ,1,1,1,1,1,0,1,0,0.101028
8733095-69.2025.8.11.7351,MT,1,1,1,1,1,0,0,0,0.060359
8304025-13.2025.8.15.3691,PB,1,1,1,0,0,1,1,0,0.126223
6732873-97.2025.8.08.0791,ES,1,0,0,0,0,0,1,1,0.992950
5809527-70.2025.8.02.4793,AL,1,1,1,0,1,1,1,1,0.138210
8706802-48.2025.8.08.1766,ES,0,1,1,0,1,0,1,0,0.109098
3737360-04.2025.8.18.0268,PI,1,1,1,1,1,1,1,0,0.029946
6621842-08.2025.8.20.0992,RN,1,1,0,0,0,0,1,1,0.811010
6403348-78.2025.8.06.2610,CE,1,1,0,1,1,1,0,0,0.464212
1992041-98.2025.8.03.8635,AP,0,1,1,1,1,1,1,0,0.036285
1990339-04.2025.8.11.9892,MT,1,1,1,0,1,1,1,0,0.110849
5175020-79.2025.8.22.9159,RO,1,1,1,1,1,1,1,0,0.034079
4395375-17.2025.8.27.0625,TO,1,1,1,0,0,0,1,0,0.189480
1074216-54.2025.8.27.5205,TO,1,0,1,1,0,1,1,0,0.437968
5327608-08.2025.8.15.6888,PB,0,1,1,0,1,1,1,0,0.051471
8715345-63.2025.8.03.9903,AP,1,1,1,0,1,0,1,1,0.379370
7139991-50.2025.8.04.3246,AM,1,0,0,1,0,1,1,1,0.976733
1957463-63.2025.8.17.5906,PE,0,1,1,1,1,1,1,0,0.017046
9402203-48.2025.8.16.6037,PR,1,0,1,1,1,1,0,0,0.450866
7783989-59.2025.8.01.3429,AC,1,1,1,1,1,0,1,0,0.060799
5620042-11.2025.8.17.5982,PE,1,0,1,1,1,1,1,1,0.517578
1652590-31.2025.8.17.1485,PE,0,1,1,1,1,1,1,0,0.017108
3766087-01.2025.8.10.2258,MA,1,0,1,0,0,1,1,1,0.692641
7077709-52.2025.8.19.6230,RJ,1,1,1,1,1,1,1,0,0.057065
6098190-02.2025.8.21.0955,RS,1,1,1,0,0,1,1,0,0.189772
7197743-26.2025.8.15.4610,PB,1,0,0,0,0,0,1,1,0.990850
1449720-31.2025.8.04.5775,AM,0,1,1,1,0,1,1,0,0.033996
7796452-58.2025.8.12.7458,MS,1,0,0,0,1,1,1,1,0.982558
6602613-72.2025.8.15.6423,PB,1,1,1,1,0,1,0,0,0.041306
7432622-20.2025.8.25.4785,SE,1,1,1,0,1,1,0,1,0.154809
4993764-44.2025.8.17.9813,PE,0,1,1,1,1,1,1,0,0.018000
9775606-56.2025.8.02.2372,AL,1,1,0,0,1,1,0,1,0.776960
1998107-47.2025.8.04.3778,AM,0,0,1,1,1,1,1,1,0.446932
4880380-63.2025.8.25.3097,SE,1,0,1,0,1,1,1,0,0.773300
1411050-19.2025.8.17.2456,PE,1,0,0,0,1,1,1,1,0.987925
6212795-02.2025.8.11.6183,MT,1,0,1,0,1,1,1,1,0.742430
5403782-65.2025.8.06.1745,CE,1,0,1,1,1,1,1,1,0.489439
3310151-94.2025.8.07.4877,DF,1,1,1,0,1,1,0,0,0.162485
8950808-46.2025.8.12.2652,MS,0,1,1,1,1,0,0,0,0.021133
2652177-30.2025.8.20.7453,RN,1,0,0,1,1,1,1,1,0.943763
1006552-91.2025.8.17.2541,PE,1,1,1,0,1,1,1,0,0.151441
6343227-32.2025.8.21.0268,RS,0,1,1,0,1,1,1,0,0.081108
6967318-79.2025.8.20.9636,RN,0,1,1,0,0,1,1,0,0.044793
8414068-89.2025.8.13.3873,MG,1,0,1,0,1,1,1,1,0.795218
4123395-29.2025.8.11.4258,MT,1,1,1,1,1,0,1,0,0.054245
5864548-29.2025.8.19.9732,RJ,1,0,1,0,1,1,0,1,0.840548
7046724-03.2025.8.22.3061,RO,1,1,1,1,1,1,1,0,0.034329
3273959-96.2025.8.15.8175,PB,0,1,1,1,1,1,1,0,0.015053
6412246-08.2025.8.20.8654,RN,1,1,1,1,0,1,1,0,0.033078
8456523-05.2025.8.14.5077,PA,1,1,1,0,0,1,1,0,0.129812
4974777-73.2025.8.16.6023,PR,1,0,1,1,0,1,1,1,0.416079
7178216-53.2025.8.22.4067,RO,1,1,1,1,0,1,0,0,0.035679
4643401-79.2025.8.17.6271,PE,0,1,0,1,0,1,1,1,0.240958
2730518-26.2025.8.06.0874,CE,0,1,1,1,1,1,1,0,0.015338
6965470-91.2025.8.16.0932,PR,0,0,1,1,0,1,1,0,0.200536
5051407-81.2025.8.14.2216,PA,1,1,1,0,0,1,1,0,0.129812
9029844-38.2025.8.26.6037,SP,1,1,1,1,1,1,0,0,0.045236
6664878-87.2025.8.04.0668,AM,1,0,1,1,1,1,1,0,0.692222
5334833-42.2025.8.10.3003,MA,0,1,1,1,0,1,1,0,0.010648
7426966-88.2025.8.20.9100,RN,0,0,0,1,1,0,1,1,0.911167
6978924-95.2025.8.26.1698,SP,0,0,1,1,1,1,1,0,0.271094
1615602-64.2025.8.15.8824,PB,0,1,1,1,1,1,0,0,0.016188
2112693-27.2025.8.02.4348,AL,0,1,1,1,1,1,0,0,0.017901
9217025-66.2025.8.05.8754,BA,0,1,1,1,0,1,0,0,0.019177
1664609-81.2025.8.10.7649,MA,1,1,0,1,1,1,0,1,0.384221
1448877-46.2025.8.27.6008,TO,1,1,0,1,1,1,1,0,0.417123
9970312-78.2025.8.17.2647,PE,0,1,1,1,1,1,1,0,0.018000
4966909-99.2025.8.05.0747,BA,1,1,1,0,1,1,1,0,0.158881
3162993-07.2025.8.02.5028,AL,1,0,1,0,1,0,0,0,0.867075
1620369-92.2025.8.21.9997,RS,1,1,1,1,1,1,1,0,0.066385
3871838-62.2025.8.27.6929,TO,0,0,0,0,1,1,1,1,0.952555
2042752-27.2025.8.14.4518,PA,1,1,1,0,1,1,1,0,0.132928
9230274-17.2025.8.20.8127,RN,1,0,0,0,0,0,1,1,0.988468
3562694-59.2025.8.07.5058,DF,1,1,1,1,0,1,1,0,0.049633
6201335-45.2025.8.08.9250,ES,1,1,1,1,0,1,1,0,0.051217
6134450-96.2025.8.18.5732,PI,1,1,0,1,0,1,1,1,0.369517
5030579-18.2025.8.25.7007,SE,1,0,0,1,1,1,1,1,0.952182
5932517-31.2025.8.20.5023,RN,1,1,0,0,1,1,1,1,0.734820
4214362-46.2025.8.15.4565,PB,1,1,1,0,0,1,1,0,0.132735
6982202-16.2025.8.25.4715,SE,1,1,1,1,0,1,0,0,0.042597
4538634-98.2025.8.02.5290,AL,1,0,1,1,1,1,1,0,0.501391
4551850-40.2025.8.10.2356,MA,0,0,1,0,1,1,1,0,0.453738
1059483-44.2025.8.05.3179,BA,0,1,1,1,0,1,1,0,0.017974
6761055-05.2025.8.15.9548,PB,1,1,1,1,1,1,1,0,0.044400
1377199-68.2025.8.19.2622,RJ,1,1,0,0,1,1,1,1,0.811561
3944272-21.2025.8.13.3062,MG,0,1,0,0,1,0,1,1,0.670096
8663062-14.2025.8.07.5887,DF,1,1,1,0,1,1,1,0,0.161871
1907399-62.2025.8.25.8097,SE,1,0,1,1,1,1,1,0,0.514060
5129630-36.2025.8.19.5903,RJ,0,0,0,1,1,0,1,1,0.945119
7060956-25.2025.8.08.9078,ES,1,1,1,1,0,1,0,0,0.060295
6540321-07.2025.8.03.1423,AP,0,1,1,1,0,1,0,0,0.036593
4175684-78.2025.8.09.1486,GO,1,1,1,0,1,1,1,0,0.194385
6236475-13.2025.8.14.8455,PA,0,1,1,1,1,1,1,0,0.013738
3772999-58.2025.8.15.8235,PB,1,1,0,1,0,1,1,0,0.467319
7547744-61.2025.8.01.4163,AC,1,1,1,1,1,1,1,0,0.034132
4568582-17.2025.8.19.3724,RJ,0,1,1,1,1,1,1,0,0.022144
9671585-24.2025.8.22.4533,RO,1,0,1,1,1,1,0,1,0.444599
6001598-07.2025.8.12.5433,MS,0,1,1,0,0,0,1,0,0.071474
4716751-92.2025.8.09.6528,GO,1,1,1,0,1,1,1,0,0.187439
1691953-06.2025.8.04.5352,AM,0,1,1,1,1,0,1,0,0.057967
8654197-61.2025.8.17.2208,PE,1,0,0,0,1,1,1,1,0.987925
5902607-86.2025.8.11.2812,MT,1,1,1,1,1,1,1,0,0.035947
7373645-03.2025.8.09.6403,GO,0,0,1,0,1,0,1,1,0.732225
8894010-96.2025.8.01.2277,AC,1,1,0,0,1,1,1,0,0.735718
1185533-17.2025.8.18.0513,PI,1,0,1,1,1,1,1,1,0.400276
4159011-15.2025.8.19.5654,RJ,1,0,0,0,1,0,1,1,0.993956
2589170-02.2025.8.02.8756,AL,0,1,1,1,1,1,1,0,0.017540
2729818-58.2025.8.09.3340,GO,1,0,1,0,0,1,1,1,0.831843
5225236-20.2025.8.18.4690,PI,1,0,1,0,1,1,0,1,0.712441
2984498-89.2025.8.17.3432,PE,1,0,1,1,0,1,1,1,0.508469
7318900-77.2025.8.16.6220,PR,1,0,1,1,1,1,0,0,0.445800
3245251-27.2025.8.10.0850,MA,1,1,1,1,1,1,1,0,0.028908
1355946-81.2025.8.06.8640,CE,0,1,1,1,1,1,1,0,0.015338
5651803-91.2025.8.27.4872,TO,0,1,1,1,1,1,1,0,0.012865
1352435-51.2025.8.13.6116,MG,1,1,1,1,0,1,1,0,0.043955
9012911-43.2025.8.08.4554,ES,0,1,0,1,1,1,1,1,0.282765
7774146-12.2025.8.13.0322,MG,0,1,1,1,1,1,1,0,0.017056
3787316-44.2025.8.09.1755,GO,0,1,1,0,1,1,1,0,0.075351
1235318-30.2025.8.13.7695,MG,1,1,1,1,1,1,1,0,0.046016
2452742-01.2025.8.24.9307,SC,1,0,1,0,1,0,1,1,0.849176
2139066-50.2025.8.21.7851,RS,1,1,1,1,0,1,1,1,0.059818
3438945-62.2025.8.06.3769,CE,1,1,1,0,0,1,1,0,0.125871
8499083-22.2025.8.13.6557,MG,1,0,1,1,1,0,1,1,0.638760
2306503-15.2025.8.18.4886,PI,1,1,0,0,0,1,1,1,0.681502
1936279-99.2025.8.13.3080,MG,0,1,1,1,0,0,1,0,0.028459
2869886-56.2025.8.13.8080,MG,0,1,1,0,1,1,1,0,0.057732
6528239-45.2025.8.25.3659,SE,1,1,1,0,1,1,1,0,0.135263
4109625-07.2025.8.26.2199,SP,1,1,1,1,1,1,1,0,0.043453
9263184-76.2025.8.01.5470,AC,1,0,1,0,1,0,0,1,0.837754
4478560-07.2025.8.02.2851,AL,1,1,1,1,1,1,0,0,0.049293
9102011-97.2025.8.18.8186,PI,0,0,1,1,1,1,1,1,0.197977
7751591-85.2025.8.20.7495,RN,1,1,1,1,1,1,1,0,0.034183
1448668-96.2025.8.12.2294,MS,0,1,1,0,1,1,1,0,0.043473
9042447-25.2025.8.02.8734,AL,0,1,1,1,1,1,1,0,0.016452
7388019-47.2025.8.19.1317,RJ,1,1,1,1,1,1,1,0,0.057065
9719262-33.2025.8.13.0170,MG,1,0,1,0,0,1,1,1,0.789622
3067641-19.2025.8.20.6173,RN,1,1,1,1,1,1,1,0,0.033064
7337371-39.2025.8.25.0586,SE,1,1,1,1,1,1,1,0,0.046589
7052145-49.2025.8.03.8939,AP,0,0,1,1,0,1,1,0,0.467232
6809267-66.2025.8.22.7207,RO,0,0,1,1,1,0,1,0,0.310403
8123975-40.2025.8.16.3885,PR,1,0,0,0,1,1,0,1,0.983279
8280145-72.2025.8.24.9347,SC,1,1,1,0,1,1,1,0,0.131209
5196837-58.2025.8.07.1271,DF,0,1,1,1,1,1,1,0,0.019589
6346514-42.2025.8.01.6113,AC,1,1,1,1,1,1,0,0,0.036866
3246199-34.2025.8.26.0100,SP,1,0,1,1,0,1,0,1,0.512346
7439568-60.2025.8.16.4166,PR,1,1,1,0,0,1,1,0,0.104554
9660178-52.2025.8.09.0569,GO,1,1,1,1,1,1,0,0,0.059878
5416874-19.2025.8.02.7444,AL,1,1,0,1,0,1,0,0,0.490731
6443230-98.2025.8.16.0670,PR,1,1,0,0,0,1,0,1,0.706280
9212974-93.2025.8.26.0818,SP,1,0,1,0,1,1,1,1,0.783610
6026325-34.2025.8.12.6546,MS,1,0,0,1,1,0,1,1,0.960636
5465518-49.2025.8.26.0737,SP,1,0,1,1,0,1,1,0,0.506297
8369950-87.2025.8.16.2695,PR,1,0,0,0,1,1,1,1,0.981631
9756239-24.2025.8.08.2823,ES,1,1,1,1,1,1,0,0,0.062394
8102822-12.2025.8.05.6129,BA,1,1,1,0,1,1,0,0,0.162609
4894385-07.2025.8.06.6720,CE,1,1,0,0,0,1,0,1,0.760767
9750443-78.2025.8.08.0828,ES,0,1,1,1,1,1,1,0,0.020366
5677894-47.2025.8.01.0674,AC,1,0,1,0,1,1,1,1,0.750797
9335003-95.2025.8.05.3796,BA,1,0,0,0,1,1,1,1,0.987932
2537608-24.2025.8.17.6522,PE,0,1,1,1,1,1,1,0,0.017573
3767735-32.2025.8.15.3952,PB,1,1,1,1,0,1,0,0,0.043251
5626439-48.2025.8.14.8134,PA,1,1,1,0,1,0,0,0,0.215553
9722853-19.2025.8.27.9649,TO,1,0,1,1,1,1,1,0,0.438969
3111248-81.2025.8.16.3901,PR,0,1,1,1,0,1,0,0,0.011347
6787119-25.2025.8.06.8947,CE,1,1,1,0,0,1,0,0,0.138297
9805694-10.2025.8.25.9560,SE,1,1,1,0,1,1,1,0,0.147819
2079076-66.2025.8.14.7987,PA,0,1,1,1,1,1,1,0,0.015265
4494590-31.2025.8.07.2824,DF,0,1,1,1,1,1,1,0,0.019589
7678572-21.2025.8.11.5010,MT,1,1,1,1,0,1,1,0,0.032756
9432346-08.2025.8.02.1246,AL,0,1,1,1,0,0,1,0,0.028010
6094398-63.2025.8.18.7066,PI,0,1,1,1,1,1,1,0,0.010951
4950108-77.2025.8.17.5163,PE,1,1,1,0,1,1,1,0,0.151441
8033076-52.2025.8.21.6998,RS,1,0,0,1,1,1,1,1,0.967694
3019158-15.2025.8.19.9624,RJ,1,1,1,1,1,1,1,0,0.061373
5829808-76.2025.8.08.4526,ES,1,0,1,0,1,1,1,1,0.821516
8345424-89.2025.8.02.8341,AL,1,1,1,1,1,1,1,0,0.047358
7854901-09.2025.8.11.7008,MT,0,1,0,1,0,0,1,0,0.290317
9890506-31.2025.8.03.1708,AP,0,0,1,0,0,1,1,1,0.745748
5747619-77.2025.8.15.8210,PB,1,1,1,1,1,1,1,0,0.038950
4069193-01.2025.8.06.4895,CE,1,1,1,0,0,1,1,0,0.135532
3515776-82.2025.8.05.3211,BA,1,0,0,1,1,0,0,1,0.975776
6331880-81.2025.8.08.9392,ES,0,1,1,1,1,0,1,0,0.033816
4926978-81.2025.8.15.9532,PB,1,1,1,0,0,0,1,0,0.203387
4071210-10.2025.8.13.2997,MG,1,1,1,0,1,0,1,0,0.221151
9073062-49.2025.8.19.5249,RJ,0,0,1,0,1,1,1,1,0.638696
3378393-23.2025.8.12.0568,MS,1,1,1,1,1,0,1,0,0.054386
8051209-40.2025.8.24.0354,SC,1,0,0,0,1,1,1,1,0.984659
4963776-87.2025.8.22.9608,RO,0,1,1,0,1,1,1,0,0.042203
3934444-58.2025.8.20.4788,RN,1,1,1,1,1,1,1,0,0.034183
7807630-80.2025.8.26.5389,SP,0,0,0,1,1,1,1,1,0.871406
5672661-01.2025.8.25.7412,SE,1,1,1,1,1,1,1,0,0.047966
8385708-65.2025.8.09.6284,GO,1,0,0,0,1,1,1,1,0.991040
7028668-96.2025.8.09.6944,GO,0,1,1,1,1,1,0,0,0.024713
5904073-46.2025.8.01.7789,AC,1,0,1,0,0,1,1,1,0.718520
6654597-89.2025.8.02.3130,AL,1,0,1,0,0,0,1,1,0.860453
5017685-40.2025.8.27.5582,TO,0,1,1,0,1,0,0,0,0.083540
9452299-67.2025.8.13.2054,MG,1,1,1,1,1,1,1,0,0.046774
3883464-50.2025.8.03.6649,AP,0,0,1,1,1,1,1,0,0.448220
6690096-98.2025.8.22.5330,RO,1,1,1,1,0,1,1,0,0.034739
4431236-54.2025.8.03.5027,AP,1,0,0,0,1,1,1,1,0.994024
8214737-02.2025.8.02.5594,AL,0,1,1,0,0,0,1,0,0.088375
5585743-23.2025.8.15.2630,PB,1,1,1,0,1,0,0,0,0.222061
7250434-20.2025.8.21.6470,RS,0,1,1,1,1,0,1,0,0.040747
3119419-12.2025.8.02.6737,AL,1,1,1,1,1,1,1,0,0.047358
8188040-85.2025.8.25.8250,SE,1,1,1,1,0,1,1,0,0.044998
9423496-40.2025.8.07.6288,DF,0,1,1,0,0,0,1,0,0.109055
7784270-53.2025.8.02.7900,AL,1,0,0,1,0,1,0,1,0.954256
8767681-55.2025.8.24.9100,SC,1,1,1,1,0,1,1,0,0.040012
7826712-45.2025.8.21.5008,RS,0,0,1,0,1,0,0,1,0.765363
8868947-85.2025.8.09.6918,GO,1,1,0,1,1,1,1,1,0.565007
4451542-83.2025.8.06.6705,CE,1,1,1,0,0,0,1,1,0.196035
3775806-82.2025.8.16.0115,PR,1,1,1,1,1,0,1,0,0.053048
7511285-53.2025.8.18.8992,PI,0,1,1,1,0,1,1,0,0.010514
4648447-50.2025.8.04.3212,AM,1,1,0,0,1,1,1,1,0.870125
3840359-66.2025.8.22.0756,RO,1,1,1,1,1,1,0,0,0.035188
1678302-76.2025.8.10.2831,MA,1,1,1,0,1,1,1,1,0.093397
4029654-31.2025.8.24.3301,SC,1,1,1,1,0,0,1,0,0.065647
7556403-46.2025.8.05.3861,BA,1,1,1,1,1,1,0,0,0.051165
6939170-38.2025.8.25.5793,SE,1,1,1,1,1,1,1,0,0.041629
4932242-06.2025.8.20.4012,RN,0,1,1,0,1,1,1,0,0.046379
7285608-60.2025.8.22.1910,RO,0,0,1,0,1,1,1,0,0.522833
3821937-85.2025.8.07.6259,DF,0,0,1,1,1,1,1,0,0.303358
2501062-02.2025.8.12.8796,MS,1,1,1,1,1,1,1,0,0.033930
4132511-20.2025.8.02.1207,AL,0,1,1,0,1,1,1,0,0.060439
9871299-01.2025.8.12.0403,MS,1,0,1,0,0,1,0,1,0.727445
2833592-22.2025.8.26.8965,SP,1,1,1,1,1,0,1,0,0.072948
9485772-18.2025.8.19.6090,RJ,1,1,1,0,1,1,1,1,0.191497
5760794-04.2025.8.14.8550,PA,1,0,1,0,1,0,1,1,0.834619
6878816-92.2025.8.14.9756,PA,1,0,1,1,1,1,1,0,0.485510
3230260-50.2025.8.04.9139,AM,1,1,1,0,0,1,1,0,0.252286
4802798-23.2025.8.17.3046,PE,1,1,1,0,0,1,1,0,0.141896
2814776-08.2025.8.06.4202,CE,1,1,1,1,1,1,1,0,0.041370
9704585-27.2025.8.19.1221,RJ,1,0,1,1,1,1,1,1,0.573379
7689142-50.2025.8.15.9862,PB,1,0,0,1,1,1,1,1,0.952260
5552112-07.2025.8.24.4643,SC,0,0,1,1,1,1,1,0,0.257539
3978371-49.2025.8.13.1483,MG,1,0,1,1,0,1,1,0,0.501705
6434556-39.2025.8.27.7465,TO,1,1,1,1,1,1,0,0,0.036642
4327447-48.2025.8.26.8670,SP,1,0,1,1,0,1,1,0,0.492379
2672723-77.2025.8.01.8870,AC,1,1,1,0,1,1,1,0,0.124557
3791451-41.2025.8.24.1220,SC,1,1,1,1,1,0,1,0,0.066528
2193273-88.2025.8.07.4567,DF,0,1,1,1,1,1,1,0,0.018886
1723007-73.2025.8.12.1743,MS,0,1,1,1,1,1,1,0,0.012464
6507505-83.2025.8.26.1752,SP,0,1,1,0,1,1,1,0,0.058796
9074560-03.2025.8.24.4173,SC,1,1,1,1,1,1,1,0,0.041816
1082099-75.2025.8.21.5004,RS,1,1,1,0,1,1,0,1,0.212760
4662566-31.2025.8.01.9913,AC,0,1,1,1,0,0,1,0,0.020400
9742914-49.2025.8.27.5934,TO,1,1,1,1,1,0,1,0,0.057347
2974734-11.2025.8.22.3721,RO,1,1,1,0,0,1,1,0,0.115329
4367432-73.2025.8.20.0308,RN,1,1,1,1,1,0,1,0,0.061854
2739470-27.2025.8.16.1715,PR,1,1,1,1,0,1,1,0,0.031406
6628825-83.2025.8.24.1460,SC,0,0,0,0,1,1,1,1,0.958621
6368057-10.2025.8.25.6453,SE,1,0,0,0,1,0,1,1,0.992368
1978668-63.2025.8.26.9794,SP,1,0,1,1,0,1,1,1,0.496797
2270862-07.2025.8.13.1643,MG,1,1,1,1,1,1,1,0,0.047035
3464845-95.2025.8.14.5387,PA,1,1,1,1,1,1,0,0,0.041715
6380482-05.2025.8.18.5025,PI,0,0,0,1,0,1,1,1,0.821637
7269401-96.2025.8.03.5622,AP,0,0,1,1,1,1,1,0,0.457873
3329167-23.2025.8.15.9544,PB,1,1,0,0,1,1,1,1,0.746059
4731373-37.2025.8.15.0756,PB,1,1,1,0,1,1,0,0,0.146112
8186534-27.2025.8.04.2970,AM,1,1,1,0,0,0,1,0,0.363032
7353790-79.2025.8.02.7470,AL,0,0,0,1,1,0,0,1,0.929694
6483521-72.2025.8.01.0836,AC,1,0,1,1,0,0,1,1,0.579870
4493284-90.2025.8.06.6318,CE,1,0,0,0,0,1,0,1,0.985546
5494364-47.2025.8.21.3768,RS,1,1,1,1,0,1,0,0,0.064706
1243199-42.2025.8.04.2728,AM,1,1,1,0,1,0,1,1,0.372084
6614999-05.2025.8.19.7341,RJ,0,1,1,1,0,0,1,1,0.032887
2503637-15.2025.8.24.9120,SC,0,1,1,1,1,0,1,0,0.025057
9613527-55.2025.8.20.1336,RN,0,1,1,1,0,1,1,0,0.011913
1380669-00.2025.8.04.2855,AM,1,1,1,0,1,1,0,0,0.265275
2489015-89.2025.8.16.7603,PR,1,1,1,0,1,1,1,0,0.112419
7769086-98.2025.8.04.8390,AM,1,1,0,0,1,1,1,1,0.880452
4808847-52.2025.8.03.0488,AP,1,1,1,0,1,0,1,1,0.384574
2421541-29.2025.8.12.9278,MS,1,0,1,0,0,1,1,1,0.723009
1532808-17.2025.8.14.6248,PA,1,1,1,0,1,1,1,0,0.122735
3549704-70.2025.8.24.2723,SC,1,1,1,0,1,1,0,0,0.138896
9077396-26.2025.8.17.3526,PE,0,1,1,1,1,1,1,0,0.017715
5370731-37.2025.8.04.7926,AM,1,0,1,0,1,1,1,1,0.885354
5348788-59.2025.8.26.3275,SP,1,1,0,1,1,1,0,0,0.502043
2909102-47.2025.8.15.7964,PB,0,1,1,1,1,1,1,0,0.015053
5697105-90.2025.8.18.7924,PI,1,0,1,0,1,0,1,1,0.808295
7467366-84.2025.8.17.2950,PE,0,0,1,0,0,0,1,0,0.700714
6982616-61.2025.8.24.9139,SC,1,0,1,0,0,0,1,1,0.847710
2929773-32.2025.8.08.7557,ES,1,1,0,0,0,0,1,1,0.873594
3930130-83.2025.8.01.5228,AC,1,1,1,1,0,1,1,0,0.036239
9705884-40.2025.8.20.3697,RN,1,0,1,1,0,1,1,1,0.421652
6472600-01.2025.8.03.0249,AP,1,0,0,1,1,1,0,1,0.979883
8989078-59.2025.8.21.9238,RS,1,1,1,1,1,1,1,0,0.064982
9654470-72.2025.8.27.3192,TO,0,1,0,1,0,1,0,0,0.196645
6872556-76.2025.8.04.6893,AM,1,0,0,1,0,1,0,1,0.978503
9278367-75.2025.8.22.8944,RO,0,1,1,1,1,1,1,0,0.012325
9873227-87.2025.8.15.4378,PB,1,1,1,1,1,1,0,0,0.046220
2082959-21.2025.8.02.3577,AL,1,0,1,0,0,0,0,1,0.868281
9460223-65.2025.8.01.8420,AC,1,1,1,1,1,0,0,0,0.065534
1954386-38.2025.8.17.2626,PE,1,1,1,0,1,1,1,0,0.146394
9167272-16.2025.8.15.0869,PB,0,1,1,1,1,1,0,0,0.015633
7168441-73.2025.8.18.4271,PI,1,0,1,1,1,1,1,1,0.400276
9715378-14.2025.8.04.4732,AM,1,1,1,0,1,1,1,0,0.254522
8199056-20.2025.8.16.5261,PR,0,1,1,1,1,1,1,0,0.011562
1993368-94.2025.8.24.4656,SC,1,1,1,1,0,0,1,0,0.063595
5292855-85.2025.8.24.9168,SC,1,1,1,1,0,1,1,0,0.039408
5101485-57.2025.8.06.5111,CE,1,1,1,1,0,0,0,0,0.064292
6497273-00.2025.8.13.7968,MG,1,1,1,1,1,1,1,0,0.044279
6992220-29.2025.8.02.7754,AL,1,1,1,0,1,0,1,0,0.235629
9412485-02.2025.8.25.6496,SE,0,1,1,1,0,1,0,0,0.015629
1660391-91.2025.8.02.9891,AL,1,0,1,1,1,0,1,1,0.626139
6474944-77.2025.8.03.4501,AP,1,0,0,0,0,1,1,1,0.993927
1150318-82.2025.8.05.5289,BA,1,1,1,1,1,1,1,0,0.055535
4947228-19.2025.8.03.1268,AP,1,1,0,0,1,1,1,1,0.884147
